id	name	element	description	imagepath	power	attack	defense
71	Air Funnel	AIR	Technique to create a cannon for small projectiles.	/com/avatarduel/card/image/skill/Air Funnel.png	2	4	0
72	Air Scooter	AIR	A form of transportation invented by Aang.	/com/avatarduel/card/image/skill/Air Scooter.png	2	2	4
73	Airbender Staff	AIR	A wooden stave used primarily by airbenders to augment their bending.	/com/avatarduel/card/image/skill/Airbender Staff.png	2	2	2
74	Airbender Upgraded Staff	AIR	Upgraded staff made by Mechanist for Aang at the Fire Nation Invasion.	/com/avatarduel/card/image/skill/Airbender Upgraded Staff.png	2	3	3
75	Crystal Armor	EARTH	Armor made of crystal that makes the person cannot move.	/com/avatarduel/card/image/skill/Crystal Armor.png	3	-4	2
76	Earth Sink	EARTH	Make the person sink to the ground.	/com/avatarduel/card/image/skill/Earth Sink.png	2	-4	2
77	Lavabending	EARTH	Manipulate molten earth.	/com/avatarduel/card/image/skill/Lavabending.png	4	4	-2
78	Fire Armor	FIRE	Fire Nation armor.	/com/avatarduel/card/image/skill/Fire Armor.png	1	0	2
79	Lightningbending	FIRE	Manipulate lightning by separating the yin and yang energies.	/com/avatarduel/card/image/skill/Lightningbending.png	4	4	-2
80	Club	WATER	A blunt force weapon used for striking. Mostly used by Sokka.	/com/avatarduel/card/image/skill/Club.png	1	1	1
81	Tangle Mine	WATER	Military weapons invented by Hakoda to aid the Southern Water Tribe's quest to defeat the Fire Nation.	/com/avatarduel/card/image/skill/Tangle Mine.png	2	2	-1
82	Wolf Armor	WATER	Protective battle gear worn by the warriors of the Southern Water Tribe.	/com/avatarduel/card/image/skill/Wolf Armor.png	2	2	1
83	Energybending	ENERGY	Ability to bend another person's life energy.	/com/avatarduel/card/image/skill/Energybending.png	4	5	6
84	Dragon of Roku	ENERGY	The legendary fire dragon of Avatar Roku.	/com/avatarduel/card/image/skill/Dragon Of Roku.png	3	4	4
